,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
43,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000,70000.0,Diesel,Individual,Manual,First Owner
44,Honda City i DTEC VX,2014.0,675000,90000.0,Diesel,Dealer,Manual,First Owner
45,Maruti Wagon R VXI BS IV,2013.0,300000,80000.0,Petrol,Dealer,Manual,First Owner
46,Tata Indica DLS,2005.0,70000,80000.0,Diesel,Individual,Manual,First Owner
47,Toyota Etios GD,2014.0,525000,92000.0,Diesel,Dealer,Manual,First Owner
48,Maruti Alto LXi,2009.0,140000,100000.0,Petrol,Individual,Manual,First Owner
49,Toyota Corolla Altis Diesel D4DG,2011.0,350000,60000.0,Diesel,Individual,Manual,First Owner
50,Mahindra Scorpio 1.99 S6 Plus,2017.0,570000,60000.0,Diesel,Individual,Manual,First Owner
51,Tata Indigo Classic Dicor,2007.0,100000,39000.0,Diesel,Individual,Manual,First Owner
52,Ford EcoSport 1.5 Diesel Titanium BSIV,2017.0,925000,35000.0,Diesel,Individual,Manual,First Owner
53,Maruti Ciaz 1.3 Delta,2018.0,750000,60000.0,Diesel,Individual,Manual,First Owner
54,Hyundai Grand i10 CRDi Sportz,2015.0,450000,80000.0,Diesel,Individual,Manual,First Owner
55,Hyundai Elite i20 Diesel Era,2019.0,650000,25000.0,Diesel,Individual,Manual,First Owner
56,Honda Amaze S i-VTEC,2016.0,495000,11958.0,Petrol,Dealer,Manual,First Owner
57,Honda Brio S MT,2015.0,371000,20000.0,Petrol,Dealer,Manual,First Owner
58,Hyundai Creta 1.6 SX Option,2017.0,1025000,9000.0,Petrol,Dealer,Manual,First Owner
59,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000,6500.0,Diesel,Dealer,Automatic,First Owner
60,Mahindra XUV500 W8 2WD,2015.0,750000,70000.0,Diesel,Individual,Manual,First Owner
61,Renault Duster 85PS Diesel RxL Optional,2013.0,600000,120000.0,Diesel,Individual,Manual,First Owner
62,Mahindra Bolero 2011-2019 SLE,2013.0,325000,62200.0,Diesel,Individual,Manual,First Owner
63,Audi A8 4.2 TDI,2013.0,2800000,60000.0,Diesel,Dealer,Automatic,First Owner
64,Volkswagen Jetta 1.4 TSI Comfortline,2013.0,450000,50000.0,Petrol,Individual,Manual,First Owner
65,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000,53000.0,Diesel,Dealer,Automatic,First Owner
66,Honda Civic 1.8 V AT,2009.0,210000,63500.0,Petrol,Dealer,Automatic,First Owner
67,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000,9800.0,Petrol,Dealer,Automatic,First Owner
68,BMW X1 sDrive 20d xLine,2017.0,2750000,13000.0,Diesel,Individual,Automatic,First Owner
69,Volvo V40 D3 R Design,2018.0,1975000,21000.0,Diesel,Dealer,Automatic,First Owner
70,Maruti SX4 Zxi BSIII,2008.0,175000,29173.0,Petrol,Dealer,Manual,First Owner
71,BMW 7 Series 730Ld,2012.0,2500000,48000.0,Diesel,Dealer,Automatic,First Owner
72,Mahindra Bolero Power Plus SLX,2017.0,628000,120000.0,Diesel,Individual,Manual,First Owner
73,Hyundai Sonata CRDi M/T,2010.0,600000,100000.0,Diesel,Individual,Manual,First Owner
74,Nissan Micra Active XV Petrol,2017.0,399000,30000.0,Petrol,Individual,Manual,First Owner
75,Mahindra Xylo D4,2018.0,750000,60000.0,Diesel,Individual,Manual,First Owner
76,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000,15000.0,Petrol,Individual,Manual,First Owner
77,Renault KWID RXT,2017.0,315000,16000.0,Petrol,Individual,Manual,First Owner
78,Mahindra Xylo E4 BS III,2012.0,600000,60000.0,Diesel,Individual,Manual,First Owner
79,Renault KWID RXT,2017.0,350000,25000.0,Petrol,Individual,Manual,First Owner
80,Hyundai Creta 1.4 CRDi S,2016.0,780000,60000.0,Diesel,Individual,Manual,First Owner
81,Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000,80000.0,Petrol,Individual,Automatic,First Owner
82,Maruti Zen LX,2004.0,95000,50000.0,Diesel,Individual,Manual,First Owner
83,Maruti Baleno Delta 1.2,2018.0,550000,20000.0,Petrol,Individual,Manual,First Owner
84,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000,100000.0,Diesel,Individual,Manual,First Owner
85,Honda Amaze S i-Vtech,2016.0,490000,50000.0,Petrol,Individual,Manual,First Owner
86,Chevrolet Cruze LTZ,2014.0,1000000,3600.0,Diesel,Dealer,Manual,First Owner
87,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000,60000.0,Petrol,Dealer,Manual,First Owner
88,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000,49213.0,Diesel,Dealer,Manual,First Owner
89,Hyundai i10 Sportz 1.1L,2015.0,229999,40000.0,Petrol,Individual,Manual,First Owner
90,Chevrolet Spark 1.0 LS,2012.0,130000,80000.0,Petrol,Individual,Manual,First Owner
91,Hyundai EON Era Plus,2015.0,200000,70000.0,Petrol,Individual,Manual,First Owner
92,Tata Indica Vista Aqua TDI BSIII,2011.0,120000,70000.0,Diesel,Individual,Manual,First Owner
93,Hyundai Santro LP zipPlus,2003.0,75000,57000.0,Diesel,Individual,Manual,First Owner
94,Tata Bolt Quadrajet XE,2016.0,250000,120000.0,Diesel,Individual,Manual,First Owner
95,Maruti 800 AC BSIII,2005.0,100000,30000.0,Petrol,Individual,Manual,First Owner
96,Hyundai i20 Magna 1.2,2015.0,540000,5000.0,Petrol,Individual,Manual,First Owner
97,Hyundai i20 1.2 Asta,2018.0,700000,10000.0,Petrol,Individual,Manual,First Owner
98,Maruti Ciaz VDi Plus,2015.0,525000,100000.0,Diesel,Individual,Manual,First Owner
99,Hyundai i20 Asta 1.4 CRDi,2016.0,430000,80000.0,Diesel,Individual,Manual,First Owner
100,Hyundai Santro LE,2002.0,65000,60000.0,Petrol,Individual,Manual,First Owner
101,Maruti Vitara Brezza VDi,2018.0,800000,35000.0,Diesel,Individual,Manual,First Owner
102,Hyundai Getz 1.3 GLS,2008.0,210000,53772.0,Petrol,Individual,Manual,First Owner
103,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000,120000.0,Diesel,Individual,Manual,First Owner
104,Hyundai EON Magna Plus,2012.0,170000,60000.0,Petrol,Individual,Manual,First Owner
105,Renault KWID RXT,2016.0,225000,25000.0,Petrol,Individual,Manual,First Owner
106,Maruti Wagon R DUO LPG,2014.0,210000,60000.0,LPG,Individual,Manual,First Owner
107,Maruti Wagon R LXI,2020.0,240000,120000.0,Petrol,Individual,Manual,First Owner
108,Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,300000,175000.0,Diesel,Individual,Manual,First Owner
109,Honda City i VTEC SV,2014.0,620000,36000.0,Petrol,Individual,Manual,First Owner
110,Honda Amaze VX i-DTEC,2013.0,500000,30000.0,Diesel,Individual,Manual,First Owner
111,Maruti Swift VVT ZXI,2017.0,550000,60000.0,Petrol,Individual,Manual,First Owner
112,Tata Indigo CR4,2011.0,150000,155500.0,Diesel,Individual,Manual,First Owner
113,Chevrolet Beat LT,2016.0,320000,40000.0,Petrol,Individual,Manual,First Owner
114,Maruti Swift Dzire ZXI Plus,2019.0,810000,15000.0,Petrol,Individual,Manual,First Owner
115,Maruti Alto K10 LXI CNG,2020.0,282000,40000.0,CNG,Individual,Manual,First Owner
116,Tata Nano LX SE,2013.0,72000,25000.0,Petrol,Individual,Manual,First Owner
117,Hyundai i20 Magna 1.2,2016.0,600000,25000.0,Petrol,Individual,Manual,First Owner
118,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000,23000.0,Petrol,Individual,Manual,First Owner
119,Maruti Alto K10 VXI,2018.0,380000,22155.0,Petrol,Individual,Manual,First Owner
120,Maruti Ciaz 1.4 Delta,2018.0,650000,70000.0,Petrol,Individual,Manual,First Owner
121,Tata Nexon 1.2 Revotron XM,2018.0,430000,30000.0,Petrol,Individual,Manual,First Owner
122,Mahindra Bolero Power Plus SLX,2019.0,800000,15000.0,Diesel,Individual,Manual,First Owner
123,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000,70000.0,Diesel,Individual,Automatic,First Owner
124,Maruti Eeco 7 Seater Standard BSIV,2017.0,390000,24000.0,Petrol,Individual,Manual,First Owner
125,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000,35000.0,Diesel,Individual,Automatic,First Owner
126,Maruti SX4 Zxi with Leather BSIII,2007.0,175000,78380.0,Petrol,Individual,Manual,First Owner
127,Maruti Swift VDI BSIV,2017.0,600000,80362.0,Diesel,Individual,Manual,First Owner
128,Chevrolet Beat Diesel LT,2012.0,150000,60000.0,Diesel,Individual,Manual,First Owner
129,Chevrolet Cruze LTZ AT,2015.0,650000,50000.0,Diesel,Individual,Automatic,First Owner
130,BMW 5 Series 520d Luxury Line,2017.0,2900000,40000.0,Diesel,Individual,Automatic,First Owner
131,Hyundai EON Era Plus Option,2014.0,265000,55000.0,Petrol,Dealer,Manual,First Owner
132,Fiat Linea T Jet Emotion,2018.0,890000,1136.0,Petrol,Dealer,Manual,First Owner
133,Renault Scala RxL,2013.0,365000,55000.0,Petrol,Dealer,Manual,First Owner
134,Ford Figo Petrol Titanium,2014.0,350000,43000.0,Petrol,Dealer,Manual,First Owner
135,Maruti Ciaz ZDi SHVS,2016.0,685000,60000.0,Diesel,Individual,Manual,First Owner
136,Skoda Rapid 1.5 TDI Ambition BSIV,2018.0,940000,2650.0,Diesel,Dealer,Manual,First Owner
137,Mahindra XUV500 W6 2WD,2017.0,1000000,40000.0,Diesel,Individual,Manual,First Owner
138,Mahindra XUV300 W8 Option,2019.0,1150000,15000.0,Petrol,Dealer,Manual,First Owner
139,Nissan Terrano XE D,2015.0,590000,65000.0,Diesel,Dealer,Manual,First Owner
140,Maruti S-Cross Facelift,2017.0,800000,40000.0,Diesel,Individual,Manual,First Owner
141,Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000,58000.0,Diesel,Dealer,Manual,First Owner
142,Hyundai EON Era Plus,2012.0,235000,54000.0,Petrol,Dealer,Manual,First Owner
143,Volkswagen Ameo 1.5 TDI Highline,2017.0,640000,56000.0,Diesel,Dealer,Manual,First Owner
144,Mahindra Renault Logan 1.5 DLS,2008.0,89999,213000.0,Diesel,Individual,Manual,First Owner
145,Chevrolet Optra Magnum 2.0 LS BSIII,2012.0,180000,120000.0,Diesel,Individual,Manual,First Owner
146,Mahindra Scorpio S11 BSIV,2017.0,1500000,20000.0,Diesel,Individual,Manual,First Owner
147,Hyundai i20 Active 1.2 SX,2017.0,700000,10000.0,Petrol,Individual,Manual,First Owner
148,Hyundai Grand i10 Magna,2015.0,390000,90000.0,Petrol,Individual,Manual,First Owner
149,Maruti Alto LXi BSIII,2008.0,125000,80000.0,Petrol,Individual,Manual,First Owner
150,Honda Mobilio V i DTEC,2014.0,300000,150000.0,Diesel,Individual,Manual,First Owner
151,Tata Indica V2 2001-2011 DLS BSIII,2009.0,90000,120000.0,Diesel,Dealer,Manual,First Owner
152,Tata Zest Quadrajet 1.3 75PS XE,2015.0,300000,140000.0,Diesel,Dealer,Manual,First Owner
153,Maruti 800 Std,2013.0,170000,70000.0,Petrol,Individual,Manual,First Owner
154,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014.0,1050000,70000.0,Diesel,Individual,Manual,First Owner
156,Hyundai Grand i10 1.2 CRDi Asta,2018.0,465000,25000.0,Diesel,Individual,Manual,First Owner
157,Datsun GO Plus T Option Petrol,2018.0,434999,10000.0,Petrol,Individual,Manual,First Owner
158,Hyundai Grand i10 1.2 Kappa Asta,2018.0,500000,32000.0,Petrol,Individual,Manual,First Owner
159,Maruti Omni MPI STD BSIV,2018.0,200000,10000.0,Petrol,Individual,Manual,First Owner
160,Maruti Baleno Alpha 1.2,2017.0,625000,52000.0,Petrol,Dealer,Manual,First Owner
161,Hyundai Elite i20 Asta Option BSIV,2019.0,800000,11240.0,Petrol,Individual,Manual,First Owner
162,Hyundai Grand i10 CRDi Magna,2017.0,490000,66000.0,Diesel,Dealer,Manual,First Owner
163,Maruti Ertiga SHVS ZDI,2017.0,880000,64000.0,Diesel,Dealer,Manual,First Owner
164,Hyundai Santro Xing GL Plus,2013.0,290000,49000.0,Petrol,Individual,Manual,First Owner
165,Renault KWID RXT,2018.0,360000,26500.0,Petrol,Individual,Manual,First Owner
166,Maruti Vitara Brezza LDi Option,2017.0,685000,72000.0,Diesel,Dealer,Manual,First Owner
167,Honda Jazz S,2009.0,300000,50000.0,Petrol,Individual,Manual,First Owner
168,Hyundai i20 1.4 Sportz,2017.0,680000,44000.0,Diesel,Dealer,Manual,First Owner
169,Tata Sumo SE Plus BSIII,2002.0,100000,120000.0,Diesel,Individual,Manual,First Owner
170,Mahindra Xylo E4,2010.0,160000,130000.0,Diesel,Individual,Manual,First Owner
171,Maruti Swift ZDi BSIV,2017.0,450000,70000.0,Diesel,Individual,Manual,First Owner
172,Maruti Ertiga VXI,2014.0,600000,20000.0,Petrol,Individual,Manual,First Owner
173,Maruti Alto LXi,2007.0,100000,195000.0,Petrol,Individual,Manual,First Owner
174,Maruti Wagon R LX BS IV,2011.0,160000,155000.0,Petrol,Individual,Manual,First Owner
175,Mahindra Bolero Power Plus SLX,2019.0,860000,35000.0,Diesel,Individual,Manual,First Owner
176,Maruti Alto 800 VXI,2017.0,282000,20000.0,Petrol,Individual,Manual,First Owner
177,Hyundai i20 Asta (o),2009.0,300000,50000.0,Petrol,Individual,Manual,First Owner
178,Hyundai Verna 1.6 SX CRDi (O),2013.0,550000,29000.0,Diesel,Individual,Manual,First Owner
179,Mahindra Xylo D2 BSIV,2013.0,450000,120000.0,Diesel,Individual,Manual,First Owner
180,Maruti Ertiga VXI ABS,2013.0,350000,40000.0,Petrol,Individual,Manual,First Owner
181,Honda Brio 1.2 E MT,2017.0,350000,20000.0,Petrol,Individual,Manual,First Owner
182,Maruti Alto 800 LXI,2013.0,110000,50000.0,Petrol,Individual,Manual,First Owner
183,Mahindra XUV500 W11 Option AWD,2020.0,1400000,25000.0,Diesel,Dealer,Manual,First Owner
184,Tata Tiago 1.2 Revotron XZ,2018.0,360000,60000.0,Petrol,Individual,Manual,First Owner
185,Mahindra Marazzo M8 8Str,2018.0,1300000,10000.0,Diesel,Individual,Manual,First Owner
186,Renault Duster 110PS Diesel RxL,2015.0,800000,15000.0,Diesel,Individual,Manual,First Owner
187,Hyundai EON Magna Plus,2018.0,229999,30000.0,Petrol,Individual,Manual,First Owner
188,Maruti Wagon R VXI,2014.0,315000,41000.0,Petrol,Dealer,Manual,First Owner
189,Chevrolet Spark 1.0 LT,2012.0,125000,28000.0,Petrol,Individual,Manual,First Owner
190,Maruti Baleno Alpha,2019.0,700000,60000.0,Petrol,Individual,Manual,First Owner
191,Hyundai EON 1.0 Kappa Magna Plus,2015.0,160000,70000.0,Petrol,Individual,Manual,First Owner
192,Ford Figo Aspire 1.2 Ti-VCT Trend,2017.0,530000,10832.0,Petrol,Dealer,Manual,First Owner
193,Ford Figo Aspire Facelift,2018.0,624000,14681.0,Diesel,Dealer,Manual,First Owner
194,Hyundai i10 Era,2009.0,250000,50000.0,Petrol,Individual,Manual,First Owner
195,Mahindra Bolero SLX,2016.0,585000,51000.0,Diesel,Dealer,Manual,First Owner
196,Hyundai Verna 1.4 VTVT,2015.0,500000,25000.0,Petrol,Individual,Manual,First Owner
197,Chevrolet Sail 1.2 LT ABS,2014.0,350000,30000.0,Petrol,Individual,Manual,First Owner
198,Honda City i-DTEC SV,2014.0,495000,80000.0,Diesel,Dealer,Manual,First Owner
199,Hyundai Grand i10 1.2 Kappa Asta,2017.0,500000,60000.0,Petrol,Individual,Manual,First Owner
200,Mahindra Bolero Power Plus Plus AC BSIV PS,2015.0,430000,200000.0,Diesel,Individual,Manual,First Owner
201,Hyundai Grand i10 1.2 Kappa Sportz Option,2013.0,345000,44000.0,Petrol,Dealer,Manual,First Owner
202,Maruti Baleno Sigma 1.2,2015.0,500000,60000.0,Petrol,Individual,Manual,First Owner
203,Tata Tiago 1.2 Revotron XZ,2019.0,425000,60000.0,Petrol,Individual,Manual,First Owner
204,Chevrolet Beat Diesel LS,2011.0,106000,50000.0,Diesel,Individual,Manual,First Owner
205,Maruti A-Star Vxi,2009.0,180000,46730.0,Petrol,Individual,Manual,First Owner
206,Skoda Yeti Ambition 4WD,2011.0,350000,80000.0,Diesel,Individual,Manual,First Owner
207,Hyundai Verna CRDi 1.6 EX,2018.0,900000,24000.0,Diesel,Individual,Manual,First Owner
208,Ford Aspire Titanium Diesel BSIV,2017.0,700000,21170.0,Diesel,Dealer,Manual,First Owner
209,BMW 3 Series 320d Sport,2013.0,2000000,167223.0,Diesel,Dealer,Automatic,First Owner
210,Maruti Ertiga SHVS ZDI Plus,2017.0,1000000,40000.0,Diesel,Individual,Manual,First Owner
211,BMW X1 sDrive 20d Exclusive,2011.0,1375000,60000.0,Diesel,Individual,Automatic,First Owner
212,Toyota Innova Crysta 2.4 VX MT,2016.0,1800000,141440.0,Diesel,Dealer,Manual,First Owner
213,Mitsubishi Outlander 2.4,2012.0,525000,140000.0,Petrol,Individual,Automatic,First Owner
214,Mahindra XUV500 W8 2WD,2012.0,850000,212814.0,Diesel,Dealer,Manual,First Owner
215,Maruti Baleno Alpha 1.3,2019.0,800000,30000.0,Diesel,Individual,Manual,First Owner
216,Ford Figo Aspire 1.5 TDCi Titanium,2017.0,700000,88635.0,Diesel,Dealer,Manual,First Owner
217,Maruti Swift Dzire VDI,2018.0,800000,25000.0,Diesel,Individual,Manual,First Owner
218,Hyundai Verna CRDi 1.6 EX,2018.0,900000,25000.0,Diesel,Individual,Manual,First Owner
219,Tata Indica LSI,2002.0,125000,40000.0,Petrol,Individual,Manual,First Owner
220,Hyundai Grand i10 Sportz,2016.0,350000,25000.0,Petrol,Individual,Manual,First Owner
221,Hyundai Grand i10 1.2 CRDi Asta,2019.0,755000,8000.0,Diesel,Individual,Manual,First Owner
222,Maruti Ertiga SHVS VDI,2017.0,720000,60000.0,Diesel,Individual,Manual,First Owner
223,Volkswagen Polo Petrol Comfortline 1.2L,2013.0,400000,100000.0,Petrol,Individual,Manual,First Owner
224,Chevrolet Beat Diesel PS,2012.0,159000,68000.0,Diesel,Dealer,Manual,First Owner
225,Maruti Swift ZXi BSIV,2017.0,550000,38000.0,Petrol,Dealer,Manual,First Owner
226,Maruti Ritz VDi,2013.0,335000,80000.0,Diesel,Dealer,Manual,First Owner
227,Tata Indigo CS Emax CNG GLX,2014.0,185000,72000.0,CNG,Dealer,Manual,First Owner
228,Maruti Eeco 5 STR With AC Plus HTR CNG,2012.0,229999,75000.0,CNG,Dealer,Manual,First Owner
229,Maruti Estilo LXI,2014.0,225000,43000.0,Petrol,Dealer,Manual,First Owner
230,Tata Zest Quadrajet 1.3 XM,2015.0,400000,100000.0,Diesel,Individual,Manual,First Owner
231,Maruti Swift VDI BSIV,2014.0,470000,163000.0,Diesel,Individual,Manual,First Owner
232,Maruti Alto LX,2011.0,145000,25000.0,Petrol,Individual,Manual,First Owner
233,Chevrolet Cruze LTZ,2010.0,240000,81925.0,Diesel,Individual,Manual,First Owner
234,Renault KWID RXT Optional,2017.0,270000,40000.0,Petrol,Individual,Manual,First Owner
235,Hyundai EON Era Plus,2012.0,200000,46000.0,Petrol,Individual,Manual,First Owner
236,Mahindra XUV500 W6 2WD,2012.0,550000,80000.0,Diesel,Individual,Manual,First Owner
237,Renault KWID 1.0 RXT Optional,2018.0,325000,35000.0,Petrol,Individual,Manual,First Owner
238,Skoda Rapid 1.5 TDI AT Style BSIV,2017.0,860000,82080.0,Diesel,Individual,Automatic,First Owner
239,Mahindra XUV500 W8 2WD,2012.0,600000,200000.0,Diesel,Individual,Manual,First Owner
240,Chevrolet Spark 1.0,2009.0,125000,60000.0,Petrol,Individual,Manual,First Owner
241,Maruti Ertiga VDI,2013.0,400000,110000.0,Diesel,Individual,Manual,First Owner
242,Maruti Swift VVT VXI,2017.0,400000,30000.0,Petrol,Individual,Manual,First Owner
243,Hyundai i20 Sportz Petrol,2010.0,250000,40000.0,Petrol,Individual,Manual,First Owner
244,Hyundai Grand i10 1.2 Kappa Asta,2019.0,600000,10000.0,Petrol,Individual,Manual,First Owner
245,Maruti Zen Estilo VXI BSIV,2010.0,175000,52047.0,Petrol,Individual,Manual,First Owner
246,Maruti Vitara Brezza ZDi,2018.0,800000,50000.0,Diesel,Individual,Manual,First Owner
247,Maruti Swift VXI BSIV,2019.0,600000,10000.0,Petrol,Individual,Manual,First Owner
248,Maruti Swift VDI BSIV,2017.0,600000,90000.0,Diesel,Individual,Manual,First Owner
249,Maruti Alto 800 LXI,2016.0,130000,40000.0,Petrol,Individual,Manual,First Owner
250,Maruti Wagon R LXI Minor,2007.0,95000,80000.0,Petrol,Individual,Manual,First Owner
251,Tata Safari Storme VX,2016.0,1000000,70000.0,Diesel,Individual,Manual,First Owner
252,Mahindra Bolero SLX,2010.0,400000,50000.0,Diesel,Individual,Manual,First Owner
253,Toyota Fortuner 4x4 MT,2014.0,1000000,110000.0,Diesel,Individual,Manual,First Owner
254,Ford Ecosport 1.5 DV5 MT Titanium,2014.0,500000,49000.0,Diesel,Individual,Manual,First Owner
255,Mahindra XUV500 W11 AT BSIV,2018.0,1600000,35000.0,Diesel,Individual,Automatic,First Owner
256,Mahindra Supro VX 8 Str,2017.0,500000,160000.0,Diesel,Individual,Manual,First Owner
257,Maruti Alto 800 VXI,2016.0,300000,30000.0,Petrol,Individual,Manual,First Owner
258,Mahindra KUV 100 D75 K2,2017.0,409999,40000.0,Diesel,Individual,Manual,First Owner
259,Maruti Swift Glam,2009.0,250000,70000.0,Petrol,Individual,Manual,First Owner
260,Toyota Fortuner 4x4 MT,2015.0,1400000,120000.0,Diesel,Individual,Manual,First Owner
261,Honda Brio 1.2 VX MT,2018.0,475000,20000.0,Petrol,Individual,Manual,First Owner
262,Honda Brio 1.2 VX MT,2018.0,475000,22000.0,Petrol,Individual,Manual,First Owner
263,Tata Tiago NRG Petrol,2019.0,575000,8000.0,Petrol,Individual,Manual,First Owner
264,Maruti Vitara Brezza ZDi Plus,2018.0,850000,10000.0,Diesel,Individual,Manual,First Owner
265,Hyundai Santro Era,2019.0,350000,30000.0,Petrol,Individual,Manual,First Owner
266,Hyundai Verna 1.4 VTVT,2017.0,330000,80577.0,Petrol,Individual,Manual,First Owner
267,Honda City i-DTEC V,2017.0,1044999,25000.0,Diesel,Individual,Manual,First Owner
268,Hyundai EON D Lite Plus,2015.0,235000,40903.0,Petrol,Dealer,Manual,First Owner
269,Maruti Wagon R VXI,2004.0,130000,46000.0,Petrol,Individual,Manual,First Owner
270,Hyundai Grand i10 Sportz,2015.0,400000,61690.0,Diesel,Dealer,Manual,First Owner
271,Hyundai i20 Asta 1.2,2015.0,600000,64484.0,Petrol,Dealer,Manual,First Owner
272,Maruti Omni E MPI STD BS IV,2018.0,250000,120000.0,Petrol,Individual,Manual,First Owner
273,Honda Mobilio V i DTEC,2015.0,600000,120000.0,Diesel,Individual,Manual,First Owner
274,Honda Accord 2.4 MT,2009.0,350000,57035.0,Petrol,Dealer,Manual,First Owner
275,Ford Figo 1.2P Ambiente MT,2015.0,229999,45000.0,Petrol,Individual,Manual,First Owner
276,Tata Nano Lx,2011.0,75000,15000.0,Petrol,Individual,Manual,First Owner
277,Hyundai i20 Active 1.2 SX,2016.0,600000,60000.0,Petrol,Individual,Manual,First Owner
278,Tata Indigo LS Dicor,2011.0,220000,80000.0,Diesel,Individual,Manual,First Owner
279,Maruti Swift Dzire VDI,2014.0,240000,90000.0,Diesel,Individual,Manual,First Owner
280,Renault KWID 1.0 RXT Optional,2017.0,390000,30000.0,Petrol,Individual,Manual,First Owner
281,Chevrolet Beat LS,2012.0,180000,50000.0,Petrol,Individual,Manual,First Owner
282,Maruti Alto 800 LXI,2018.0,310000,5000.0,Petrol,Individual,Manual,First Owner
283,Maruti Wagon R AMT VXI,2018.0,420000,24000.0,Diesel,Individual,Automatic,First Owner
